1,1,5
2,2,5
2,3,5
2,4,4
2,5,4
3,6,5
4,7,4
4,8,4
4,9,3
5,10,5
6,11,2
7,12,2
8,13,5
9,14,5
10,15,1
10,16,3
10,17,4
10,18,1
10,19,4
10,20,5
10,21,4
10,22,4
10,23,2
11,24,4
11,25,4
11,26,5
11,27,3
11,28,1
11,29,1
11,30,5
12,31,5
13,32,5
13,33,5
13,34,5
13,35,1
13,36,5
13,37,5
13,38,5
13,39,5
13,40,1
13,41,1
14,42,5
15,43,5
15,44,5
16,45,5
16,46,3
16,47,4
17,48,5
18,49,4
18,50,4
19,51,5
20,52,4
21,53,5
21,54,1
22,55,1
22,52,4
23,56,1
23,57,2
23,58,1
23,59,1
23,60,1
23,61,1
23,62,3
23,63,3
23,64,1
24,65,2
24,66,5
24,67,4
24,68,4
24,69,3
24,70,1
24,71,4
24,72,4
24,73,1
24,74,4
24,75,2
24,76,1
24,77,1
24,78,5
24,79,1
25,80,5
25,81,3
26,82,4
26,83,4
27,84,1
28,85,4
28,86,3
28,87,4
28,88,5
28,89,4
28,90,5
28,91,5
28,92,3
29,93,3
30,94,5
31,95,4
32,96,4
32,97,5
33,98,5
34,99,1
34,100,1
34,101,1
34,102,1
34,103,2
34,104,1
34,105,5
35,106,4
35,107,5
35,108,4
35,109,3
35,110,3
35,111,4
36,112,4
36,113,1
36,114,4
36,115,4
36,116,5
36,117,3
36,118,4
36,119,5
36,120,4
36,121,2
36,122,4
36,123,2
36,124,4
36,125,2
36,126,4
36,127,3
36,128,4
36,129,4
36,130,5
36,131,5
36,132,1
36,133,5
36,134,1
36,135,3
36,136,3
36,137,2
36,138,5
36,139,4
36,140,4
36,141,5
36,142,3
36,143,2
36,144,4
36,145,4
36,146,2
36,147,1
36,148,4
36,149,4
36,150,4
36,151,4
36,152,4
36,153,4
36,154,3
36,155,2
36,156,4
36,157,5
36,158,4
37,159,2
37,160,4
38,161,1
39,162,5
39,163,5
40,164,5
41,165,2
42,166,5
42,167,4
43,168,1
44,169,5
45,170,5
45,171,5
45,172,1
46,173,5
47,174,5
47,175,5
48,176,3
48,177,4
48,178,3
48,179,3
48,180,5
48,181,4
48,182,3
48,183,4
48,184,2
48,185,4
48,186,4
48,187,4
48,188,3
48,189,3
48,190,4
49,191,1
49,192,5
49,193,5
49,194,5
50,195,4
50,196,5
